time,Q_release,V_storage
2013-01-01 00:00:00,0.000000,400000.000000
2013-01-01 12:00:00,1.965966,399310.276946
2013-01-02 00:00:00,2.550127,399304.778298
2013-01-02 12:00:00,3.310205,398863.906866
2013-01-03 00:00:00,4.431354,395349.393972
2013-01-03 12:00:00,5.829470,383276.289055
2013-01-04 00:00:00,6.425901,416717.368392
2013-01-04 12:00:00,5.830456,404601.680497
2013-01-05 00:00:00,4.430046,401143.705155
2013-01-05 12:00:00,3.299323,401172.971135
2013-01-06 00:00:00,2.114189,420000.004198
2013-01-06 12:00:00,1.950000,420000.004198
