time,Q_release,storage_V
2013-01-01 00:00:00,0.000000,400000.000000
2013-01-01 12:00:00,0.000000,484240.000000
2013-01-02 00:00:00,2.000000,508000.000000
2013-01-02 12:00:00,2.000000,564160.000000
2013-01-03 00:00:00,4.000000,579280.000000
2013-01-03 12:00:00,4.000000,646240.000000
2013-01-04 00:00:00,4.000000,784480.000000
2013-01-04 12:00:00,8.000000,678640.000000
2013-01-05 00:00:00,8.000000,520960.000000
2013-01-05 12:00:00,2.000000,577120.000000
2013-01-06 00:00:00,4.000000,514480.000000
2013-01-06 12:00:00,2.000000,512320.000000
